City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
160,Port Elizabeth,ZA,-33.918,25.5701,57.31,84,0,2.3,clear sky
161,Coquimbo,CL,-29.9533,-71.3436,60.53,58,20,13.8,few clouds
162,Gorban,RO,46.8761,28.0789,56.01,64,98,4.34,overcast clouds
163,Berlevag,NO,70.8578,29.0864,42.6,75,0,9.22,clear sky
164,Liku,ID,-0.7275,119.8922,75.24,92,100,3.58,overcast clouds
165,Thompson,CA,55.7435,-97.8558,57.36,44,75,10.36,broken clouds
166,Longyearbyen,SJ,78.2186,15.6401,37.24,70,75,12.66,broken clouds
167,Omboue,GA,-1.5746,9.2618,76.6,81,11,7.4,few clouds
168,Srednekolymsk,RU,67.45,153.6833,17.28,88,10,7.36,clear sky
169,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,92.64,17,0,8.66,clear sky
170,Gayny,RU,60.3071,54.3241,48.09,70,100,6.67,overcast clouds
171,Poya,NC,-21.35,165.15,64.47,75,0,5.99,clear sky
172,Quatre Cocos,MU,-20.2078,57.7625,72.09,79,39,12.91,scattered clouds
173,Lagoa,PT,39.05,-27.9833,70.52,81,98,16.71,overcast clouds
174,Dzaoudzi,YT,-12.7887,45.2699,75.09,83,0,5.75,clear sky
175,Nadym,RU,65.5333,72.5167,34.14,94,43,11.79,scattered clouds
176,San Patricio,US,28.017,-97.5169,85.17,39,97,6.55,overcast clouds
177,Mount Gambier,AU,-37.8333,140.7667,49.66,84,100,11.27,overcast clouds
178,Pangkalanbuun,ID,-2.6833,111.6167,74.88,97,100,1.92,overcast clouds
179,La Palma,US,33.8464,-118.0467,92.66,68,20,8.05,few clouds
180,Manaure,CO,11.7751,-72.4445,91.11,56,20,12.88,few clouds
181,Qaanaaq,GL,77.484,-69.3632,18.61,75,99,4.54,overcast clouds
182,Saint-Pierre,RE,-21.3393,55.4781,69.48,78,20,6.91,few clouds
183,Dakar,SN,14.6937,-17.4441,85.08,76,69,9.75,broken clouds
184,Port-Gentil,GA,-0.7193,8.7815,78.76,78,40,11.5,scattered clouds
185,Halifax,CA,44.6453,-63.5724,62.53,72,40,10.36,scattered clouds
186,Marawi,PH,7.9986,124.2928,68.13,95,98,2.59,overcast clouds
187,Robe,AU,-37.1833,139.75,52.0,95,100,18.61,overcast clouds
188,Ligayan,PH,4.6533,119.4706,83.46,74,90,8.5,overcast clouds
189,Alakurtti,RU,66.9672,30.3491,38.68,98,100,1.16,overcast clouds
190,Manggar,ID,-2.8833,108.2667,78.53,83,100,2.55,overcast clouds
191,Ixtapa,MX,20.7,-105.2,87.22,66,75,9.22,broken clouds
192,Antofagasta,CL,-23.65,-70.4,61.88,68,8,8.48,clear sky
193,Porto Recanati,IT,43.4365,13.6613,65.98,53,91,7.14,overcast clouds
194,Laguna,US,38.421,-121.4238,85.17,56,0,4.61,clear sky
195,Souillac,MU,-20.5167,57.5167,71.98,78,40,11.5,scattered clouds
196,Praxedis Guerrero,MX,31.3667,-106.0167,76.46,35,10,4.85,clear sky
197,Yulara,AU,-25.2406,130.9889,59.14,53,0,7.14,clear sky
198,San Lorenzo,PY,-25.3333,-57.5333,86.94,27,0,5.99,clear sky
199,Ipanguacu,BR,-5.4983,-36.855,88.84,43,14,16.53,few clouds
200,Bongor,TD,10.2806,15.3722,75.38,76,65,5.06,broken clouds
201,Afonso Bezerra,BR,-5.4983,-36.5056,94.98,26,52,10.92,broken clouds
202,Chillicothe,US,39.3331,-82.9824,70.0,37,0,3.44,clear sky
203,Gusau,NG,12.1628,6.6614,81.05,66,100,8.99,overcast clouds
204,Codrington,AU,-38.2667,141.9667,53.29,76,100,17.45,overcast clouds
205,Cap Malheureux,MU,-19.9842,57.6142,72.46,70,19,8.01,few clouds
206,Lieksa,FI,63.3167,30.0167,44.1,94,100,4.16,overcast clouds
207,Helong,CN,42.5397,128.9972,29.57,65,0,4.38,clear sky
208,Luderitz,NA,-26.6481,15.1594,57.81,73,0,17.6,clear sky
209,Sanary-Sur-Mer,FR,43.1178,5.8001,69.89,87,12,0.92,few clouds
210,Jacareacanga,BR,-6.2222,-57.7528,87.73,54,99,4.03,overcast clouds
211,Barzas,RU,55.7167,86.3167,31.64,78,80,4.79,broken clouds
212,Constitucion,CL,-35.3333,-72.4167,52.63,86,100,3.18,overcast clouds
213,Sao Filipe,CV,14.8961,-24.4956,78.12,79,100,5.86,light rain
214,Strezhevoy,RU,60.7333,77.5889,40.14,88,100,7.96,overcast clouds
215,Caribou,US,46.8606,-68.012,64.85,27,0,9.22,clear sky
216,Goderich,CA,43.7501,-81.7165,61.12,67,8,5.75,clear sky
217,Casper,US,42.8666,-106.3131,64.72,46,20,4.61,few clouds
218,Harper,LR,4.375,-7.7169,76.69,90,92,7.02,overcast clouds
219,Kichmengskiy Gorodok,RU,59.9816,45.7854,48.6,91,100,8.48,overcast clouds
220,Faanui,PF,-16.4833,-151.75,77.99,76,17,22.19,light rain
221,Havoysund,NO,70.9963,24.6622,44.83,83,4,15.39,clear sky
222,Kodaikanal,IN,10.2333,77.4833,56.46,79,100,3.78,overcast clouds
223,Aksarka,RU,66.5606,67.7975,36.3,83,8,5.95,clear sky
224,Saldanha,ZA,-33.0117,17.9442,53.65,66,0,14.92,clear sky
225,Torrington,US,41.8007,-73.1212,55.38,85,100,5.01,overcast clouds
226,Finschhafen,PG,-6.6024,147.8681,79.14,81,86,8.59,overcast clouds
227,Nome,US,64.5011,-165.4064,44.67,93,100,4.61,overcast clouds
228,Calama,CL,-22.4667,-68.9333,72.09,4,0,24.16,clear sky
229,Tautira,PF,-17.7333,-149.15,76.24,74,82,24.47,broken clouds
230,Vila Velha,BR,-20.3297,-40.2925,76.95,86,40,10.36,scattered clouds
231,Mundybash,RU,53.211,87.2983,32.0,72,95,3.09,overcast clouds
232,Portland,US,45.5234,-122.6762,60.84,82,100,3.44,overcast clouds
233,Storsteinnes,NO,69.2408,19.2344,46.38,90,23,7.63,few clouds
234,Ca Mau,VN,9.1769,105.15,76.66,93,100,4.36,overcast clouds
235,Lima,PE,-12.0432,-77.0282,69.91,65,75,10.36,broken clouds
236,Kavieng,PG,-2.5744,150.7967,82.29,78,93,16.46,overcast clouds
237,Soledade,BR,-28.8183,-52.5103,67.03,44,0,5.59,clear sky
238,Xiangfan,CN,32.0422,112.1448,46.65,88,100,10.8,overcast clouds
239,Hongjiang,CN,27.11,109.9956,61.5,82,58,5.19,broken clouds
240,Fairbanks,US,64.8378,-147.7164,46.92,79,0,4.61,clear sky
241,Vostok,RU,46.4856,135.8833,21.45,90,12,4.25,few clouds
242,Oliveira Dos Brejinhos,BR,-12.3169,-42.8961,97.0,19,18,4.09,few clouds
243,Kavaratti,IN,10.5669,72.642,81.43,78,97,17.07,overcast clouds
244,Kapustin Yar,RU,48.5831,45.7372,60.26,68,100,9.98,overcast clouds
245,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.87,63,5,8.7,clear sky
246,Totolapan,MX,18.5167,-96.1833,83.43,67,6,4.52,clear sky
247,Cuamba,MZ,-14.8031,36.5372,78.08,19,5,4.09,clear sky
248,Dongsheng,CN,39.8161,109.9776,37.06,35,74,5.44,broken clouds
249,Kautokeino,NO,69.0125,23.0412,38.14,93,100,10.76,overcast clouds
250,Mocuba,MZ,-16.8392,36.9856,76.8,59,3,6.33,clear sky
251,Barcelona,ES,41.3888,2.159,71.11,80,20,2.3,few clouds
252,Colares,PT,38.7992,-9.4469,75.33,33,0,10.36,clear sky
253,Qaqortoq,GL,60.7167,-46.0333,37.89,76,100,10.16,light rain
254,Torbay,CA,47.6666,-52.7314,58.57,60,0,20.71,clear sky
255,Kashan,IR,33.9831,51.4364,79.68,16,0,4.29,clear sky
256,Mehamn,NO,71.0357,27.8492,40.95,81,0,11.5,clear sky
257,Ardabil,IR,38.2498,48.2933,64.83,44,0,3.0,clear sky
258,Liwale,TZ,-9.7667,37.9333,71.44,58,7,5.1,clear sky
259,Ust-Kuyga,RU,70.0167,135.6,19.74,94,100,4.09,overcast clouds
260,Lagos,NG,6.5833,3.75,80.92,89,83,4.07,broken clouds
261,Kayerkan,RU,69.3497,87.7602,31.77,98,100,7.27,light snow
262,Alice Springs,AU,-23.7,133.8833,58.55,82,0,3.44,clear sky
263,Poronaysk,RU,49.2167,143.1167,35.87,81,22,9.04,few clouds
264,Matara,LK,5.9485,80.5353,78.19,88,100,11.79,overcast clouds
265,Buraydah,SA,26.326,43.975,86.45,12,0,12.33,clear sky
266,Mountain Home,US,43.133,-115.6912,71.08,30,0,9.22,clear sky
267,Nantucket,US,41.2835,-70.0995,59.14,94,100,28.72,overcast clouds
268,Concarneau,FR,47.875,-3.9225,62.82,85,100,11.01,overcast clouds
269,Georgetown,MY,5.4112,100.3354,77.9,98,20,3.44,few clouds
270,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,86,75,16.11,broken clouds
271,Puerto Leguizamo,CO,-0.1934,-74.7819,93.79,38,82,1.39,broken clouds
272,Steinbach,DE,50.1667,8.5667,56.21,97,0,1.14,clear sky
273,Ambilobe,MG,-13.2,49.05,70.12,82,46,4.52,scattered clouds
274,Gamba,GA,-2.65,10.0,75.94,82,41,6.02,scattered clouds
275,Te Anau,NZ,-45.4167,167.7167,32.07,84,6,3.04,clear sky
276,French Harbor,HN,16.35,-86.4333,87.08,80,40,12.66,scattered clouds
277,Angoche,MZ,-16.2325,39.9086,76.17,74,0,13.87,clear sky
278,Sharjah,AE,25.3573,55.4033,89.58,74,0,4.61,clear sky
279,Grafton,US,42.207,-71.6856,57.43,78,100,11.5,overcast clouds
280,Sandy Bay,AU,-42.913,147.3532,39.29,91,40,8.05,scattered clouds
281,San Javier,ES,37.8063,-0.8374,74.91,76,0,4.61,clear sky
282,Goya,AR,-29.14,-59.2626,82.47,21,0,9.93,clear sky
283,Mezen,RU,65.8522,44.24,40.73,97,90,6.2,overcast clouds
284,Kermanshah,IR,34.3142,47.065,67.1,13,0,6.91,clear sky
285,Bethel,US,41.3712,-73.414,53.69,87,100,8.05,mist
286,Cabo San Lucas,MX,22.8909,-109.9124,91.62,66,0,14.97,clear sky
287,Hwange,ZW,-18.3693,26.5019,80.65,23,0,2.66,clear sky
288,Nelson Bay,AU,-32.7167,152.15,64.0,83,100,11.01,overcast clouds
289,Wiarton,CA,44.7407,-81.1332,72.03,55,20,5.75,few clouds
290,Vao,NC,-22.6667,167.4833,68.11,61,5,10.47,clear sky
291,Bengkulu,ID,-3.8004,102.2655,75.27,91,100,5.21,light rain
292,Greifswald,DE,54.1,13.3833,53.56,84,94,9.22,overcast clouds
293,Vila,PT,42.0304,-8.1588,59.7,65,1,1.77,clear sky
294,Placido De Castro,BR,-10.3353,-67.1856,95.09,36,87,2.44,heavy intensity rain
295,Rio Gallegos,AR,-51.6226,-69.2181,59.05,38,75,18.41,broken clouds
296,Beverley,GB,53.8459,-0.4233,61.02,50,40,9.22,scattered clouds
297,Sabang,ID,5.8933,95.3214,76.68,89,100,14.97,light rain
298,San Jose,US,37.3394,-121.895,78.85,69,40,4.61,scattered clouds
299,Maragogi,BR,-9.0122,-35.2225,78.62,64,10,8.79,clear sky
300,Nyurba,RU,63.2842,118.3319,23.9,82,60,6.6,broken clouds
301,Nikolskoye,RU,59.7035,30.7861,43.81,96,67,2.64,broken clouds
302,Hvide Sande,DK,56.0045,8.1294,59.09,91,100,26.4,overcast clouds
303,Cortez,US,37.3489,-108.5859,67.03,51,0,8.05,clear sky
304,Roswell,US,34.0232,-84.3616,76.86,57,20,9.22,few clouds
305,Ribeira Grande,PT,38.5167,-28.7,73.8,73,20,12.66,few clouds
306,Keuruu,FI,62.2667,24.7,39.38,92,5,2.3,clear sky
307,Mapiri,BO,-15.25,-68.1667,83.98,57,99,4.27,overcast clouds
308,Richards Bay,ZA,-28.783,32.0377,68.36,67,63,3.29,broken clouds
309,Olafsvik,IS,64.8945,-23.7142,44.44,81,100,18.79,overcast clouds
310,Taos,US,36.4072,-105.5731,65.98,54,20,3.44,few clouds
311,Kaitangata,NZ,-46.2817,169.8464,35.91,92,78,10.51,broken clouds
312,Belorechensk,RU,44.76,39.87,58.8,81,100,6.13,overcast clouds
313,Mackenzie,CA,55.2999,-123.1698,52.02,66,0,6.91,clear sky
314,Luena,AO,-11.7833,19.9167,72.93,24,67,5.01,broken clouds
315,Zadar,HR,44.1197,15.2422,56.01,82,0,3.44,clear sky
316,Almaznyy,RU,48.0448,40.045,52.75,81,0,4.9,clear sky
317,Port Macquarie,AU,-31.4333,152.9167,58.89,79,100,1.59,moderate rain
318,Sakhon Nakhon,TH,17.1612,104.1472,73.26,92,100,3.71,overcast clouds
319,Howard Springs,AU,-12.497,131.047,76.91,97,61,3.51,broken clouds
320,Varkaus,FI,62.3153,27.873,43.3,96,100,5.86,overcast clouds
321,Luebo,CD,-5.35,21.4167,76.1,73,74,2.42,light rain
322,Kilindoni,TZ,-7.9139,39.6668,76.03,80,8,13.35,clear sky
323,Kenai,US,60.5544,-151.2583,49.08,77,75,17.27,broken clouds
324,Kidal,ML,18.4411,1.4078,97.79,15,75,10.85,broken clouds
325,Verkhnyaya Inta,RU,65.9811,60.3094,37.63,89,100,8.88,overcast clouds
326,Sile,TR,41.1754,29.6133,59.67,71,5,7.43,clear sky
327,Necochea,AR,-38.5473,-58.7368,66.63,39,17,13.04,few clouds
328,Sioux Lookout,CA,50.1001,-91.917,61.95,60,93,5.7,overcast clouds
329,Shingu,JP,33.7333,135.9833,76.05,86,77,6.76,broken clouds
330,Road Town,VG,18.4167,-64.6167,87.89,77,21,13.87,few clouds
331,Karratha,AU,-20.7377,116.8463,71.44,52,2,8.79,clear sky
332,Keflavik,IS,64.0049,-22.5624,44.51,87,75,29.93,broken clouds
333,Prince Albert,CA,53.2001,-105.7677,64.35,48,75,5.75,broken clouds
334,Hirara,JP,24.8,125.2833,81.5,74,4,10.31,clear sky
335,La Ciotat,FR,43.1748,5.6045,69.82,68,10,0.89,clear sky
336,Pevek,RU,69.7008,170.3133,25.45,80,59,4.38,broken clouds
337,Labytnangi,RU,66.6572,66.4183,35.51,86,7,6.13,clear sky
338,Plyussa,RU,58.4308,29.3654,43.77,95,99,2.1,overcast clouds
339,Tuatapere,NZ,-46.1333,167.6833,37.4,81,99,15.19,overcast clouds
340,Santa Cruz,BO,-17.8,-63.1667,91.45,43,40,25.32,scattered clouds
341,Bubaque,GW,11.2833,-15.8333,81.68,77,100,9.06,overcast clouds
342,Matagami,CA,49.7502,-77.6328,55.51,94,100,4.61,overcast clouds
343,Chokurdakh,RU,70.6333,147.9167,19.63,96,98,7.85,light snow
344,Taseyevo,RU,57.2169,94.8978,24.21,97,87,3.06,overcast clouds
345,Zanjan,IR,36.6736,48.4787,64.33,18,0,2.26,clear sky
